Complexity metrics,Tue, 9 Jan 2018 17:58:18 EST,
Method,ev(G),iv(G),v(G)
it.polimi.deib.p2pchat.discovery.TabFragment.newInstance(),1,1,1
"it.polimi.deib.p2pchat.discovery.TabFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.setMViewPager(ViewPager),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.setWiFiChatFragmentList(List<WiFiChatFragment>),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.setWiFiP2pServicesFragment(WiFiP2pServicesFragment),1,1,1
it.polimi.deib.p2pchat.discovery.TabFragment.setmSectionsPagerAdapter(SectionsPagerAdapter),1,1,1
it.polimi.deib.p2pchat.discovery.TestClass.TestClass(),1,1,1
it.polimi.deib.p2pchat.discovery.TestClass.sendCopyIntent(),1,1,1
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver.WiFiP2pBroadcastReceiver(WifiP2pManager,Channel,Activity)",1,1,1
"it.polimi.deib.p2pchat.discovery.WiFiP2pBroadcastReceiver.onReceive(Context,Intent)",3,5,6
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsSdTxtRecordListener.onDnsSdTxtRecordAvailable(String,Map<String, String>,WifiP2pDevice)",1,1,1
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomDnsServiceResponseListener.onDnsSdServiceAvailable(String,String,WifiP2pDevice)",1,4,4
"it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.CustomizableActionListener(Context,String,String,String,String,String)",1,1,2
it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.onFailure(int),1,3,4
it.polimi.deib.p2pchat.discovery.actionlisteners.CustomizableActionListener.onSuccess(),1,3,4
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.WiFiChatFragment(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.addToWaitingToSendQueueAndTryReconnect(),1,2,2
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getAdapter(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getChatLine(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getChatManager(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getItems(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getTAG(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.getTabNumber(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.isFirstStartSendAddress(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.isGrayScale(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.newInstance(),1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,4,4
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.pushMessage(String),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.sendForcedWaitingToSendQueue(),1,5,6
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setAdapter(WiFiChatMessageListAdapter),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setChatLine(TextView),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setChatManager(ChatManager),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setFirstStartSendAddress(boolean),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setGrayScale(boolean),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.setTabNumber(Integer),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatFragment.updateChatMessageListAdapter(),1,2,2
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatMessageListAdapter.WiFiChatMessageListAdapter(Context,int,WiFiChatFragment)",1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.WiFiChatMessageListAdapter.getView(int,View,ViewGroup)",1,7,7
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(Reason),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(String),1,1,1
"it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(String,Throwable)",1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.MessageException(Throwable),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageException.getReason(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.MessageFilter(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.getInstance(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.getLowerCaseBlackList(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.messagefilter.MessageFilter.isFiltered(String),5,2,5
it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendListElement.WaitingToSendListElement(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendListElement.getWaitingToSendList(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendQueue.WaitingToSendQueue(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendQueue.getInstance(),1,1,1
it.polimi.deib.p2pchat.discovery.chatmessages.waitingtosend.WaitingToSendQueue.getWaitingToSendItemsList(int),1,4,4
it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice.LocalP2PDevice(),1,1,1
it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice.getInstance(),1,1,1
it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice.getLocalDevice(),1,1,1
it.polimi.deib.p2pchat.discovery.model.LocalP2PDevice.setLocalDevice(WifiP2pDevice),1,1,1
it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.P2pDestinationDevice(),1,1,1
it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.P2pDestinationDevice(WifiP2pDevice),1,1,1
it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.getDestinationIpAddress(),1,1,1
it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.getP2pDevice(),1,1,1
it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.setDestinationIpAddress(String),1,1,1
it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.setP2pDevice(WifiP2pDevice),1,1,1
it.polimi.deib.p2pchat.discovery.model.P2pDestinationDevice.toString(),1,1,1
it.polimi.deib.p2pchat.discovery.services.BasicIntentService.BasicIntentService(),1,1,1
it.polimi.deib.p2pchat.discovery.services.BasicIntentService.handleInMessage(Intent),1,1,1
it.polimi.deib.p2pchat.discovery.services.BasicIntentService.handleOutMessage(Intent),1,1,1
it.polimi.deib.p2pchat.discovery.services.BasicIntentService.handleStreamClientMessage(Intent),1,2,2
it.polimi.deib.p2pchat.discovery.services.BasicIntentService.handleStreamReplyMessage(Intent),1,2,2
it.polimi.deib.p2pchat.discovery.services.BasicIntentService.onHandleIntent(Intent),1,9,9
it.polimi.deib.p2pchat.discovery.services.BasicIntentService.receiveIncomingMessage(byte[]),1,1,1
it.polimi.deib.p2pchat.discovery.services.ServiceList.ServiceList(),1,1,1
it.polimi.deib.p2pchat.discovery.services.ServiceList.addServiceIfNotPresent(WiFiP2pService),2,4,6
it.polimi.deib.p2pchat.discovery.services.ServiceList.clear(),1,1,1
it.polimi.deib.p2pchat.discovery.services.ServiceList.getElementByPosition(int),1,1,1
it.polimi.deib.p2pchat.discovery.services.ServiceList.getInstance(),1,1,1
it.polimi.deib.p2pchat.discovery.services.ServiceList.getServiceByDevice(WifiP2pDevice),4,2,4
it.polimi.deib.p2pchat.discovery.services.ServiceList.getSize(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.getDevice(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.getInstanceName(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.getServiceRegistrationType(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.setDevice(WifiP2pDevice),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.setInstanceName(String),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.setServiceRegistrationType(String),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.OnClickListenerLocalDevice.OnClickListenerLocalDevice(Fragment),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.OnClickListenerLocalDevice.onClick(View),1,2,2
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.WiFiP2pServicesFragment(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.changeLocalDeviceName(String),2,1,2
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getLocalDeviceNameText(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getMAdapter(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getMRecyclerView(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getTAG(),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.hideLocalDeviceGoIcon(),1,4,4
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.itemClicked(View),1,2,2
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.newInstance(),1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.resetLocalDeviceIpAddress(),1,3,3
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setLocalDeviceIpAddress(String),1,3,3
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setLocalDeviceNameText(TextView),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setMAdapter(WiFiServicesAdapter),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setMRecyclerView(RecyclerView),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.showLocalDeviceGoIcon(),1,4,4
it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.ViewHolder.ViewHolder(View),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.ViewHolder.setOnClickListener(OnClickListener),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.WiFiServicesAdapter(ItemClickListener),1,1,1
it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.getDeviceStatus(int),7,2,7
it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.getItemCount(),1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.onBindViewHolder(ViewHolder,int)",1,2,2
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.onCreateViewHolder(ViewGroup,int)",1,1,1
it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.LocalDeviceDialogFragment(),1,1,1
it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.newInstance(),1,1,1
"it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.onDestroyView(),1,3,3
it.polimi.deib.p2pchat.discovery.services.localdeviceguielement.LocalDeviceDialogFragment.setListener(),1,1,1
"it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.ChatManager(Socket,Handler)",1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getHandler(),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getSocket(),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getTAG(),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getiStream(),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.getoStream(),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.isDisable(),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.run(),4,6,7
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.setDisable(boolean),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.setSocket(Socket),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.setiStream(InputStream),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.setoStream(OutputStream),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ChatManager.write(byte[]),1,2,2
"it.polimi.deib.p2pchat.discovery.socketmanagers.ClientSocketHandler.ClientSocketHandler(Handler,InetAddress)",1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.ClientSocketHandler.closeSocketAndKillThisThread(),1,5,5
it.polimi.deib.p2pchat.discovery.socketmanagers.ClientSocketHandler.run(),1,3,3
it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler.GroupOwnerSocketHandler(Handler),1,2,2
it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler.closeSocketAndKillThisThread(),1,4,4
it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler.getIpAddress(),1,1,1
it.polimi.deib.p2pchat.discovery.socketmanagers.GroupOwnerSocketHandler.run(),2,8,8
it.polimi.deib.p2pchat.discovery.utilities.CompressionUtils.CompressArray(byte[]),1,2,3
it.polimi.deib.p2pchat.discovery.utilities.CompressionUtils.DecompressArray(byte[]),1,2,4
it.polimi.deib.p2pchat.discovery.utilities.CopyUtils.processDataForTransmission(Cursor),1,3,3
it.polimi.deib.p2pchat.discovery.utilities.CopyUtils.receiveCopy(Intent),1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.BundleDeserializer.deserialize(JsonElement,Type,JsonDeserializationContext)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.BundleSerializer.serialize(Bundle,Type,JsonSerializationContext)",1,1,1
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.IntentSerialization(),1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.UriDeserializer.deserialize(JsonElement,Type,JsonDeserializationContext)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.UriSerializer.serialize(Uri,Type,JsonSerializationContext)",1,1,1
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.bundleStringProcessing(String),1,3,3
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.deserializeIntentGson(String),1,3,3
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.deserializeIntentGsonBundle(String),1,12,12
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.deserializeIntentGsonURI(String),1,3,3
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.jsonStringToBundle(String),1,1,2
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.jsonToBundle(JSONObject),1,2,2
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.prepareJsonBundle(Bundle),1,3,3
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.returnByteArrayFromString(String),1,2,3
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.returnRemoteIntentFromByteArray(byte[]),1,6,6
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.serializeIntent(Intent),2,2,2
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.serializeIntentGson(Intent),1,1,1
it.polimi.deib.p2pchat.discovery.utilities.IntentSerialization.toJsonObject(String),1,1,1
it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.RemoteIntent(),1,1,1
it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.RemoteIntent(String),1,15,15
"it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.RemoteIntent(String,Transfer)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.RemoteIntent(String,Uri)",1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.RemoteIntent(String,Uri,Transfer)",1,1,1
it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.RemoteIntent(Transfer),1,1,1
it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.RemoteIntent(byte[]),1,19,20
it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.getByteArray(),1,1,1
it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.getJson(),1,2,2
it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.getTransferMethod(),1,1,1
it.polimi.deib.p2pchat.discovery.utilities.RemoteIntent.setTransferMethod(Transfer),1,1,1
it.polimi.deib.p2pchat.discovery.utilities.StreamingUtils.StreamingUtils(),1,1,1
it.polimi.deib.p2pchat.discovery.utilities.StreamingUtils.getIPAddress(boolean),7,7,9
"it.polimi.deib.p2pchat.discovery.utilities.StreamingUtils.receiveStream(RemoteIntent,Context)",1,5,5
it.polimi.deib.p2pchat.discovery.utilities.StreamingUtils.remoteClientHandler(String),1,1,1
"it.polimi.deib.p2pchat.discovery.utilities.StreamingUtils.streamServerHandler(Intent,Context)",1,2,2
it.polimi.deib.p2pchat.discovery.utilities.Util.bundleStringProcessing(String),1,7,8
"it.polimi.deib.p2pchat.discovery.utilities.Util.copyDirectoryOneLocationToAnotherLocation(File,File)",1,5,5
it.polimi.deib.p2pchat.discovery.utilities.Util.getFileExtension(String),2,2,2
it.polimi.deib.p2pchat.discovery.utilities.Util.getFolderSize(File),1,3,3
it.polimi.deib.p2pchat.discovery.utilities.Util.getIPAddress(boolean),7,7,9
it.polimi.deib.p2pchat.discovery.utilities.Util.intentToRemoteIntent(Intent),1,5,5
it.polimi.deib.p2pchat.discovery.utilities.Util.jsoStringProcessing(String),1,2,2
