Complexity metrics,Tue, 9 Jan 2018 17:53:56 EST
Method,ev(G),iv(G),v(G)
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.setInstanceName(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pService.setServiceRegistrationType(String)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.OnClickListenerLocalDevice.OnClickListenerLocalDevice(Fragment)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.OnClickListenerLocalDevice.onClick(View)",1,2,2
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.WiFiP2pServicesFragment()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.changeLocalDeviceName(String)",2,1,2
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getLocalDeviceNameText()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getMAdapter()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getMRecyclerView()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.getTAG()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.hideLocalDeviceGoIcon()",1,4,4
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.itemClicked(View)",1,2,2
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.newInstance()",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.resetLocalDeviceIpAddress()",1,3,3
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setLocalDeviceIpAddress(String)",1,3,3
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setLocalDeviceNameText(TextView)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setMAdapter(WiFiServicesAdapter)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.setMRecyclerView(RecyclerView)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiP2pServicesFragment.showLocalDeviceGoIcon()",1,4,4
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.ViewHolder.ViewHolder(View)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.ViewHolder.setOnClickListener(OnClickListener)",1,1,1
"it.polimi.deib.p2pchat.discovery.services.WiFiServicesAdapter.WiFiServicesAdapter(ItemClickListener)",1,1,1
